Gene,Description,padj_maSigPro,clusters_maSigPro,Fold_change_h_vs_c,padj_h_vs_c,Fold_change_p_vs_c,padj_p_vs_c,Fold_change_a_vs_c,padj_a_vs_c,Fold_change_r_vs_c,padj_r_vs_c,Fold_change_a_vs_r,padj_a_vs_r,Fold_change_h_vs_a,padj_h_vs_a
TCAL_00248,Similar to CTDSPL2 CTD small phosphatase-like protein 2 (Gallus gallus),1.27E-11,6,-0.2552742,0.020786972,NA,NA,NA,NA,-0.446999236,1.19E-08,-0.291237721,0.001508131,NA,NA
TCAL_00253,Protein of unknown function,0.001693353,4,NA,NA,NA,NA,NA,NA,NA,NA,0.539850981,0.020524241,NA,NA
TCAL_00258,Similar to Nphs1 Nephrin (Mus musculus),0.003937037,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00269,Similar to SLC46A3 Solute carrier family 46 member 3 (Gallus gallus),0.002540203,6,NA,NA,NA,NA,-0.548252532,0.018130544,-0.463482878,0.072063243,NA,NA,NA,NA
TCAL_00270,Similar to aPKC Atypical protein kinase C (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,-0.241762207,0.055729089,NA,NA,NA,NA
TCAL_00276,Similar to obst-E Protein obstructor-E (Drosophila melanogaster),6.67E-06,2,NA,NA,1.048812812,0.000808395,1.003006005,0.001142107,0.812257562,0.016058267,NA,NA,NA,NA
TCAL_00282,Similar to HMCN1 Hemicentin-1 (Homo sapiens),0.004322891,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00284,Similar to Amy-p Alpha-amylase A (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,-0.292199919,0.08127399,NA,NA,NA,NA,NA,NA
TCAL_00299,"Similar to Haao 3-hydroxyanthranilate 3,4-dioxygenase (Rattus norvegicus)",NA,NA,NA,NA,NA,NA,NA,NA,-0.237166198,0.074932936,NA,NA,NA,NA
TCAL_00311,Similar to Agrn Agrin (Mus musculus),6.78E-05,5,NA,NA,NA,NA,NA,NA,-0.44917431,0.046794412,-0.58893994,0.003147087,NA,NA
TCAL_00315,Similar to GPP2 (DL)-glycerol-3-phosphatase 2 (Arabidopsis thaliana),0.00075721,3,NA,NA,NA,NA,0.79765933,0.000894586,NA,NA,NA,NA,NA,NA
TCAL_00322,"Similar to Alg12 Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (Mus musculus)",0.000620362,4,NA,NA,NA,NA,-0.327933757,0.013035548,NA,NA,0.279104239,0.067563351,NA,NA
TCAL_00342,Similar to PMPCA Mitochondrial-processing peptidase subunit alpha (Bos taurus),7.36E-05,2,NA,NA,NA,NA,0.258080894,0.03177181,NA,NA,-0.284297544,0.017927777,NA,NA
TCAL_00360,Similar to Rps6kb1 Ribosomal protein S6 kinase beta-1 (Mus musculus),0.002504585,6,-0.236968538,0.043062284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00370,"Similar to B3GALT1 Beta-1,3-galactosyltransferase 1 (Pongo pygmaeus)",3.11E-29,1,NA,NA,NA,NA,NA,NA,1.204278868,2.09E-07,1.288084792,2.42E-08,NA,NA
TCAL_00376,Similar to SLC9A8 Sodium/hydrogen exchanger 8 (Homo sapiens),NA,NA,NA,NA,NA,NA,-0.305646977,0.090491384,NA,NA,NA,NA,NA,NA
TCAL_00384,"Similar to Dars Aspartate--tRNA ligase, cytoplasmic (Rattus norvegicus)",NA,NA,NA,NA,NA,NA,-0.219277793,0.073439958,NA,NA,NA,NA,NA,NA
TCAL_00385,Similar to Ovol2 Transcription factor Ovo-like 2 (Mus musculus),6.31E-06,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00399,Similar to Klhl12 Kelch-like protein 12 (Mus musculus),0.001435483,4,NA,NA,NA,NA,-0.334708866,0.069301802,NA,NA,0.367751025,0.045164511,NA,NA
