Gene
TCAL_16451
TCAL_03260
TCAL_04358
TCAL_06219
TCAL_09416
TCAL_03107
TCAL_05297
TCAL_11030
TCAL_06987
TCAL_13962
TCAL_12876
TCAL_09258
TCAL_05028
TCAL_10695
TCAL_02574
TCAL_04018
TCAL_01755
TCAL_09703
TCAL_15609
TCAL_02114
TCAL_17344
TCAL_07497
TCAL_16240
TCAL_10703
TCAL_03946
TCAL_04088
TCAL_11506
TCAL_09158
TCAL_06556
TCAL_09683
TCAL_10785
TCAL_07846
TCAL_13839
TCAL_08754
TCAL_00706
TCAL_05696
TCAL_03807
TCAL_13352
TCAL_15311
TCAL_02014
TCAL_05190
TCAL_07973
TCAL_14268
